week_number,title_fr,title_ar,title_en,emoji,trimester,baby_size_label_fr,baby_size_label_ar,baby_size_label_en,baby_size_cm,baby_weight_g,baby_dev_text_fr,baby_dev_text_ar,baby_dev_text_en,mom_body_text_fr,mom_body_text_ar,mom_body_text_en,warnings_text_fr,warnings_text_ar,warnings_text_en,recommended_articles_ids,recommended_supplements_ids,calendar_template_ids,baby_image_static_url,baby_3d_model_url,Subject,Corps de la maman (FR),Avertissements (FR),Articles recommandés (IDs),Compléments recommandés (IDs),Modèles de calendrier (IDs),Error
27,Semaine 27 – ### Le développement du cerveau,,,🥥,3ème,"Chou-rave (36,6 cm)",,,36.6,875.0,"Le cerveau de votre bébé connaît une période de croissance rapide. Il peut désormais ouvrir et fermer ses yeux et pourrait même rêver pendant les phases de sommeil paradoxal. Ses poumons continuent de se développer, et il commence à établir des habitudes de sommeil et d'éveil.",,,,,,,,,,,,week_27.png,,27.0,"La 27e semaine marque la fin du deuxième trimestre, une étape où votre corps continue sa transformation pour accueillir votre bébé. La prise de poids est normale et s'accompagne souvent de sensations de ballonnement et de constipation, dues à la pression exercée par l'utérus sur votre estomac et vos intestins, ainsi qu'à l'effet de la progestérone. La fatigue peut refaire surface, et il est crucial de privilégier le repos. Vous pourriez également remarquer une augmentation du ronflement, causée par le gonflement des voies nasales. Les douleurs ligamentaires, les maux de dos et les crampes dans les jambes sont fréquents. Il est recommandé de dormir sur le côté, idéalement le gauche, pour optimiser la circulation sanguine vers le bébé et soulager la pression sur votre dos.","Il est essentiel de rester vigilante et de consulter immédiatement un professionnel de la santé ou de vous rendre à l'hôpital si vous présentez l'un des signes d'alerte suivants : **saignements vaginaux**, **maux de tête sévères** persistants, **douleurs abdominales aiguës**, **changement subit de la vision**, ou une **enflure généralisée** (mains, visage, jambes). Après 26 semaines de grossesse, si vous constatez une **absence de mouvements du bébé** ou si celui-ci bouge significativement moins que d'habitude (moins de six mouvements distincts en deux heures), contactez sans délai votre lieu de naissance. Votre bien-être et celui de votre bébé sont notre priorité absolue. N'hésitez jamais à consulter en cas de doute.","a07,a11,a04,a02,a15","s01,s03","c01,c03",
28,Semaine 28 – ### Les périodes d'éveil et de sommeil,,,🥥,3ème,"Aubergine (37,6 cm)",,,37.6,1.0,Votre bébé a maintenant des périodes distinctes d'éveil et de sommeil. Il peut ouvrir les yeux et percevoir la lumière qui filtre à travers votre ventre. Son système respiratoire continue de mûrir. Il réagit de plus en plus aux sons et peut reconnaître votre voix.,,,,,,,,,,,,week_28.png,,28.0,"La 28e semaine marque l'entrée dans le troisième et dernier trimestre de votre grossesse. Votre corps continue de s'adapter à la croissance rapide de votre bébé, ce qui peut entraîner une augmentation de l'inconfort et de la fatigue. Les symptômes courants incluent des **brûlures d'estomac** et de l'**indigestion**, car l'utérus exerce une pression accrue sur votre estomac. Le poids supplémentaire que vous portez sollicite également votre dos, provoquant des **maux de dos** fréquents. Il est possible que vous remarquiez un **gonflement** au niveau des chevilles, des pieds et parfois du visage, dû à la rétention d'eau. Les **saignements de nez** et les **douleurs ligamentaires rondes** (douleurs sur les côtés du ventre) sont également fréquents. Enfin, les troubles du sommeil peuvent s'accentuer, rendant le repos plus difficile. N'hésitez pas à en parler à votre professionnel de santé pour obtenir des conseils sur la gestion de ces désagréments.","**Votre santé et celle de votre bébé sont notre priorité absolue. Il est crucial de rester vigilante face à certains signes d'alerte, surtout à l'approche du troisième trimestre.**

**Consultez immédiatement votre médecin, sage-femme ou rendez-vous aux urgences si vous présentez l'un des symptômes suivants :**

*   **Diminution ou absence de mouvements du bébé** : Si vous remarquez que votre bébé bouge moins que d'habitude, c'est un signal d'alarme qui nécessite une évaluation urgente.
*   **Saignements vaginaux abondants ou fuite de liquide amniotique**.
*   **Maux de tête sévères et persistants** qui ne sont pas soulagés par le repos ou les médicaments, souvent accompagnés de **troubles de la vision** (vision floue, taches lumineuses).
*   **Douleur abdominale intense et persistante** qui ne disparaît pas.
*   **Gonflement soudain et extrême** des mains, du visage ou des pieds, car cela pourrait être un signe de **pré-éclampsie**.
*   **Fièvre** supérieure à 38°C.
*   **Douleur thoracique** ou **difficultés à respirer**.

**N'attendez jamais. En cas de doute, il est toujours préférable de consulter un professionnel de la santé.**","a05,a12,a18,a23,a31","s01,s03","c01,c03",
29,Semaine 29 – ### Le développement des sens,,,🍉,3ème,"Butternut (38,6 cm)",,,38.6,1.15,"Les sens de votre bébé continuent de s'affiner. Il peut désormais percevoir la lumière, les sons, le goût et le toucher. Son cerveau peut traiter des informations plus complexes. Les poumons produisent de plus en plus de surfactant, essentiel pour respirer après la naissance.",,,,,,,,,,,,week_29.png,,29.0,"La 29e semaine de grossesse marque le début du troisième trimestre, une période où les symptômes s'intensifient en raison de la croissance rapide du bébé et de l'utérus. Il est fréquent de ressentir un essoufflement, car l'utérus exerce une pression accrue sur le diaphragme et les poumons. Les troubles du sommeil sont très courants, souvent causés par les mouvements actifs du bébé, la nécessité d'uriner fréquemment, et l'inconfort général. Des crampes dans les jambes, des maux de dos, ainsi que des gonflements (œdèmes) des mains et des pieds peuvent apparaître. Ces symptômes sont le résultat de l'augmentation du volume sanguin et de la modification du centre de gravité. Il est essentiel de se reposer sur le côté gauche pour optimiser la circulation et de surveiller attentivement les mouvements du bébé, car leur régularité est un indicateur clé de son bien-être.","Il est crucial de ne jamais ignorer certains signaux d'alerte. **Consultez immédiatement** votre professionnel de santé si vous constatez une diminution ou un arrêt des mouvements de votre bébé, des saignements vaginaux, une perte de liquide amniotique (rupture de la poche des eaux), ou des contractions régulières et douloureuses avant terme. Une enflure soudaine et généralisée, des maux de tête sévères persistants, ou des troubles de la vision peuvent être des signes de pré-éclampsie et nécessitent une évaluation urgente. Votre vigilance est la meilleure garantie pour la santé de votre bébé.","a03,a05,a12,a15","s01,s03","c01,c03",
30,Semaine 30 – ### Le développement des ongles,,,🍉,3ème,"Chou (39,9 cm)",,,39.9,1.3,"Les ongles de votre bébé ont atteint le bout de ses doigts et de ses orteils. Sa peau devient moins ridée à mesure qu'il prend du poids. Le système immunitaire se renforce. Les connexions neuronales dans son cerveau se multiplient rapidement, améliorant ses capacités cognitives.",,,,,,,,,,,,week_30.png,,30.0,"À 30 semaines de grossesse, vous entrez dans la dernière ligne droite, et les symptômes du troisième trimestre s'intensifient. L'utérus, désormais très volumineux, exerce une pression accrue sur vos organes, ce qui peut entraîner un essoufflement plus fréquent, même au repos, car vos poumons ont moins d'espace pour se déployer. Les troubles du sommeil sont très courants, souvent dus à la difficulté de trouver une position confortable, aux crampes nocturnes, ou à des rêves intenses et anxiogènes liés à l'accouchement. Vous pourriez également ressentir des contractions de Braxton Hicks, des tiraillements indolores qui préparent l'utérus au travail. L'augmentation du volume sanguin et la pression sur les veines peuvent provoquer un gonflement (œdème) des pieds et des mains, ainsi que des douleurs ligamentaires au niveau du bassin et du dos. Il est essentiel de continuer à vous reposer et à surveiller les mouvements de votre bébé.","Votre sécurité et celle de votre bébé sont notre priorité. Si vous constatez l'un des signes suivants, il est impératif de contacter immédiatement votre maternité ou de vous rendre aux urgences. Une diminution ou une absence de mouvements de votre bébé est un signal d'alerte majeur qui nécessite une évaluation urgente. De même, soyez vigilante face à des saignements vaginaux, même légers, à une perte de liquide amniotique (rupture de la poche des eaux), ou à des contractions utérines régulières et douloureuses avant 37 semaines. Des maux de tête violents et persistants, des troubles de la vision, ou une douleur intense et subite dans le haut de l'abdomen peuvent être des signes de pré-éclampsie. N'hésitez jamais à consulter en cas de doute, mieux vaut une vérification inutile qu'une complication non traitée.","a03,a04,a05,a06,a07","s01,s02","c01,c02",
31,Semaine 31 – ### Le développement des cinq sens,,,🍉,3ème,"Noix de coco (41,1 cm)",,,41.1,1.5,"Les cinq sens de votre bébé sont désormais fonctionnels. Il peut distinguer les saveurs dans le liquide amniotique, voir la lumière et l'obscurité, entendre les voix et les sons, sentir les odeurs transmises par le liquide amniotique et bien sûr, toucher son environnement et son propre corps.",,,,,,,,,,,,week_31.png,,31.0,"À 31 semaines de grossesse, vous êtes bien installée dans le troisième trimestre, et les symptômes s'intensifient souvent. La fatigue est courante, car votre corps travaille sans relâche pour soutenir la croissance rapide de votre bébé. Vous pourriez ressentir un essoufflement plus fréquent, car l'utérus exerce une pression croissante sur votre diaphragme. Les contractions de Braxton Hicks, ces ""fausses"" contractions, peuvent devenir plus perceptibles. Les douleurs dorsales et la sciatique sont fréquentes en raison du poids supplémentaire et du changement de posture. Il est essentiel de continuer à surveiller les mouvements de votre bébé et de vous reposer autant que possible. Les problèmes de sommeil, dus à l'inconfort ou aux mictions fréquentes, sont également un défi majeur à ce stade.","Il est crucial de rester vigilante aux signes d'alerte à 31 semaines. Si vous ressentez des **maux de tête intenses et persistants**, des **troubles de la vision** (comme des flashs ou des taches), ou une **douleur sévère et constante sous les côtes**, contactez immédiatement votre professionnel de santé. Ces symptômes pourraient indiquer une pré-éclampsie. De même, une **diminution significative des mouvements de votre bébé** nécessite une consultation urgente. N'ignorez jamais les **saignements vaginaux abondants** ou les **fuites de liquide amniotique**. En cas de doute ou de contractions régulières et douloureuses avant terme, ne tardez pas : votre santé et celle de votre bébé sont la priorité absolue.","a15,a16,a17,a18,a19","s01,s04","c03,c04",
32,Semaine 32 – ### Le développement des poumons,,,🍉,3ème,"Chou frisé (42,4 cm)",,,42.4,1.7,"Les poumons de votre bébé sont presque complètement développés, bien qu'ils continuent de mûrir. Il s'entraîne à respirer en pratiquant des mouvements respiratoires. Ses ongles sont complètement formés. Il prend du poids rapidement, accumulant des réserves de graisse sous sa peau.",,,,,,,,,,,,week_32.png,,32.0,"À 32 semaines de grossesse (34 SA), vous entrez dans la dernière ligne droite. Les **contractions de Braxton-Hicks** peuvent devenir plus fréquentes et intenses, préparant l'utérus à l'accouchement. Le poids accru du bébé et son positionnement plus bas peuvent entraîner des **douleurs dans le bas-ventre et le dos**, ainsi qu'une pression accrue sur la vessie, provoquant des envies d'uriner plus fréquentes. Le **gonflement des pieds et des chevilles** (œdème) est courant, il est conseillé de surélever les jambes et d'éviter de rester debout trop longtemps. Vous pourriez également ressentir de la **fatigue** et des **troubles du sommeil** dus à la difficulté à trouver une position confortable. Une bonne hydratation et une alimentation riche en fibres sont essentielles pour gérer la **constipation** fréquente à ce stade.","Il est crucial de rester vigilante aux signes d'alerte à ce stade avancé de la grossesse. **Consultez immédiatement** votre professionnel de santé si vous observez une **diminution significative des mouvements du bébé**. Une **fièvre supérieure à 38°C**, des **saignements vaginaux**, ou une **perte de liquide amniotique** (rupture de la poche des eaux) nécessitent une attention urgente. Soyez également attentive aux signes de **pré-éclampsie** : maux de tête violents et persistants, troubles de la vision, douleurs intenses sous les côtes (en barre), et un gonflement soudain et important du visage ou des mains. Votre bien-être et celui de votre bébé sont notre priorité.","a01,a02,a03,a04","s01,s02","c01,c02",
33,Semaine 33 – ### La prise de poids,,,🎃,3ème,"Ananas (43,7 cm)",,,43.7,1.9,"Votre bébé prend environ 225 grammes par semaine. Son système immunitaire continue de se développer, recevant des anticorps de votre part qui le protégeront après la naissance. Son squelette se durcit, bien que les os du crâne restent souples pour faciliter le passage dans le canal de naissance.",,,,,,,,,,,,week_33.png,,33.0,"À 33 semaines de grossesse, la fatigue s'intensifie, non seulement à cause du poids supplémentaire que vous portez, mais aussi en raison des nuits souvent perturbées. Votre utérus se prépare activement à l'accouchement, ce qui se manifeste par des contractions de Braxton Hicks, des resserrements indolores de l'abdomen. Le bébé, qui prend de plus en plus de place, peut exercer une pression sur votre diaphragme, provoquant un essoufflement, et sur votre vessie, augmentant la fréquence des mictions. Vous pourriez également ressentir une lourdeur dans le bassin si le bébé a déjà adopté sa position tête en bas. Les inconforts digestifs comme les brûlures d'estomac, ainsi que les maux de dos et les crampes nocturnes, sont fréquents à ce stade avancé du troisième trimestre.","Il est crucial de rester vigilante aux signaux d'alerte. Si vous ressentez des contractions régulières et douloureuses, ou si vous constatez une perte de liquide amniotique ou des saignements vaginaux, contactez immédiatement votre maternité. De même, une diminution notable des mouvements de votre bébé, des maux de tête intenses et persistants, des troubles de la vision, ou un gonflement soudain et important du visage et des mains nécessitent une consultation urgente. N'hésitez jamais à appeler votre professionnel de santé : il est là pour vous rassurer et s'assurer que tout va bien pour vous et votre bébé.","a01,a02,a03,a04",s01,c01,
34,Semaine 34 – ### Le développement du système immunitaire,,,🎃,3ème,Melon (45 cm),,,45.0,2.1,"Le système immunitaire de votre bébé continue de se renforcer. Ses poumons sont presque matures. Il a moins d'espace pour bouger, mais vous sentez toujours ses mouvements. Ses reins sont complètement développés. La plupart des bébés se positionnent tête en bas à ce stade.",,,,,,,,,,,,week_34.png,,34.0,"À 34 semaines de grossesse, le corps se prépare activement pour l'accouchement. Un phénomène notable est l'engagement du bébé dans le bassin, souvent appelé « allègement ». Cette descente peut soulager l'essoufflement et les brûlures d'estomac, mais elle augmente la pression sur la vessie, entraînant un besoin d'uriner plus fréquent, et peut rendre la marche plus difficile. Les **contractions de Braxton Hicks**, indolores et irrégulières, sont courantes, tout comme les troubles du sommeil et la fatigue générale. Vous pourriez également observer un écoulement de **colostrum** (premier lait) de vos seins. D'autres désagréments persistent, tels que les maux de dos, les crampes dans les jambes, la constipation et les **œdèmes** (gonflement) des mains et des pieds. Il est essentiel de continuer à se reposer et à surveiller les mouvements du bébé.","Il est crucial de rester vigilante à 34 semaines. Consultez **immédiatement** un professionnel de la santé si vous présentez l'un des symptômes d'alerte suivants : **saignements vaginaux** importants ou fuite de liquide, **maux de tête sévères** et persistants qui ne passent pas avec du repos, **changements de vision** (vision floue, taches lumineuses), **douleur abdominale intense** et persistante, **gonflement soudain et extrême** du visage ou des mains, ou **fièvre** supérieure à 38°C. De plus, si vous ressentez une **diminution ou un arrêt des mouvements de votre bébé**, contactez sans délai votre maternité. Ces signes peuvent indiquer une complication nécessitant une intervention rapide pour assurer votre sécurité et celle de votre enfant.","a12,a13,a14,a15,a16","s04,s05","c03,c04",
35,Semaine 35 – ### La croissance des cheveux,,,🎃,3ème,"Melon miel (46,2 cm)",,,46.2,2.4,"Votre bébé a maintenant une chevelure complète. Ses réflexes sont bien développés. Son foie peut traiter certains déchets. Si c'est un garçon, ses testicules descendent dans le scrotum. L'espace devient vraiment limité, donc les mouvements peuvent sembler différents.",,,,,,,,,,,,week_35.png,,35.0,"À 35 semaines de grossesse, l'approche de l'accouchement intensifie les sensations. La fatigue est souvent marquée, et les troubles du sommeil persistent, exacerbés par la difficulté à trouver une position confortable. Le volume de l'utérus, très élevé, peut entraîner des **brûlures d'estomac** et des **troubles respiratoires** si le bébé n'est pas encore descendu. Vous ressentez probablement une forte **pesanteur dans le bas-ventre** et des **douleurs pelviennes** dues à la pression exercée par la tête du bébé. Les **contractions de Braxton Hicks** sont plus fréquentes et parfois plus intenses. Il est crucial de surveiller les mouvements de votre bébé et de vous reposer dès que possible. La rétention d'eau et les jambes lourdes sont également courantes à ce stade.","Il est essentiel de rester vigilante à l'approche du terme. **Consultez immédiatement** votre maternité ou un professionnel de santé si vous observez des **saignements vaginaux** (plus que de légères traces), une **perte de liquide amniotique** (rupture de la poche des eaux), ou des **contractions utérines régulières et douloureuses** qui surviennent toutes les 5 minutes pendant au moins une heure, car cela pourrait indiquer un travail prématuré. De même, une **diminution significative des mouvements du bébé** ou l'apparition soudaine de **maux de tête violents**, de **troubles de la vision** ou de **douleurs intenses à l'estomac** (signes potentiels de pré-éclampsie) nécessitent une évaluation médicale urgente. N'hésitez jamais à appeler en cas de doute, il vaut mieux consulter pour rien.","a01,a02,a03,a04,a05","s01,s02","c01,c02",
36,Semaine 36 – ### La position finale,,,🎃,3ème,"Chou romaine (47,4 cm)",,,47.4,2.6,"Votre bébé prend généralement sa position finale pour la naissance, idéalement tête en bas. Ses systèmes digestif et circulatoire sont pleinement fonctionnels. Il continue d'accumuler des graisses, ce qui l'aide à réguler sa température après la naissance. Ses joues sont potelées.",,,,,,,,,,,,week_36.png,,36.0,"À 36 semaines de grossesse, l'utérus a atteint sa taille maximale, ce qui intensifie la pression sur les organes internes. La future maman ressent souvent une **lourdeur pelvienne** accrue, car la tête du bébé est généralement engagée dans le bassin, préparant l'accouchement. Cette descente peut paradoxalement soulager l'essoufflement et les brûlures d'estomac en libérant de l'espace sous la cage thoracique. Les **contractions de Braxton Hicks** deviennent plus fréquentes et perceptibles, bien que non douloureuses. Le sommeil est souvent perturbé par la difficulté à trouver une position confortable et par des **envies fréquentes d'uriner**. La fatigue est courante, le corps se préparant activement à la naissance. Il est essentiel de se reposer et de pratiquer des exercices de respiration pour gérer l'inconfort.","Il est crucial de rester vigilante à 36 semaines. **Consultez immédiatement** si vous constatez une **diminution ou un arrêt des mouvements du bébé**. Une **perte de liquide** claire et abondante (rupture de la poche des eaux) ou des **saignements vaginaux** importants nécessitent une prise en charge urgente. Soyez attentive aux signes de pré-éclampsie : **maux de tête sévères et persistants**, troubles de la vision, ou **douleurs intenses** dans la partie supérieure de l'abdomen. Toute fièvre, douleur abdominale intense ou contractions régulières et douloureuses (plus de 4 par heure) avant la 37e semaine doivent vous amener à contacter votre maternité sans délai. Votre santé et celle de votre bébé sont la priorité absolue.","a01,a02,a03,a04,a05",s01,"c01,c02",
37,Semaine 37 – ### Bébé à terme,,,👶,3ème,"Céleri (48,6 cm)",,,48.6,2.9,"Votre bébé est maintenant considéré comme à terme. Tous ses organes sont prêts à fonctionner en dehors de l'utérus, bien qu'il continue de bénéficier de chaque jour supplémentaire dans votre ventre. Son cerveau et ses poumons poursuivent leur maturation. Il s'entraîne à respirer, téter et déglutir.",,,,,,,,,,,,week_37.png,,37.0,"À 37 semaines, votre grossesse est considérée à terme. Le bébé est prêt, et votre corps se prépare activement à l'accouchement. Les contractions de Braxton Hicks, souvent plus intenses et fréquentes, sont courantes. Vous pourriez ressentir une pression pelvienne accrue, car le bébé est descendu dans le bassin (engagement). Le sommeil devient difficile en raison de l'inconfort et des besoins fréquents d'uriner. La fatigue est omniprésente. Une augmentation des pertes vaginales (le bouchon muqueux) peut indiquer que le travail approche. Continuez à surveiller les mouvements de votre bébé, même si l'espace est plus restreint. La patience est de mise, l'arrivée est imminente.","À ce stade, il est crucial de rester vigilante. **Consultez immédiatement** si vous ressentez des contractions régulières et douloureuses (toutes les 5 minutes pendant une heure), car cela pourrait être le début du travail. Une diminution significative des mouvements du bébé est une urgence : allongez-vous et comptez les mouvements, si vous en sentez moins de 10 en deux heures, contactez votre maternité. Soyez attentive aux saignements vaginaux importants, à une perte de liquide clair (rupture de la poche des eaux), à des maux de tête violents et persistants, ou à des troubles de la vision, qui peuvent être des signes de pré-éclampsie. Votre sécurité et celle de votre bébé sont la priorité absolue. N'hésitez jamais à appeler en cas de doute.","a01,a02,a03,a04,a05","s01,s02","c01,c02",
38,Semaine 38 – ### Les dernières préparations,,,👶,3ème,"Citrouille (49,8 cm)",,,49.8,3.1,"Votre bébé continue de prendre du poids. Ses ongles atteignent le bout de ses doigts. Le vernix (enduit blanc protecteur) et le lanugo (duvet fin) qui recouvraient sa peau commencent à disparaître. Son système digestif contient du méconium, qui constituera ses premières selles.",,,,,,,,,,,,week_38.png,,38.0,"À 38 semaines de grossesse, votre bébé est considéré comme à terme et l'attente peut engendrer une certaine **frustration ou de l'ennui** [1]. Les symptômes de fin de grossesse persistent, voire s'intensifient. Vous continuez de ressentir des **contractions de Braxton Hicks** (indolores et irrégulières) [1]. Le poids du bébé et la pression exercée sur votre bassin peuvent provoquer des **douleurs pelviennes et dorsales** [2]. L'envie fréquente d'uriner est courante, tout comme les **troubles du sommeil** et les **gonflements** des mains et des pieds [1]. Vous pourriez également observer la **perte du bouchon muqueux**, un signe que le col de l'utérus commence à se modifier en vue de l'accouchement [2]. Il est essentiel de rester patiente et de vous reposer autant que possible en cette dernière ligne droite.","Bien que l'accouchement soit imminent, certains signes nécessitent une consultation immédiate. **Contactez votre maternité ou les urgences** si vous constatez une **perte de sang rouge vif** (similaire à des règles) [3], une **perte des eaux** (écoulement de liquide amniotique, même léger) [4], ou des **contractions régulières, intenses et rapprochées** (toutes les 5 minutes pendant au moins une heure) qui ne s'atténuent pas au repos [4]. Une **fièvre supérieure à 38°C** [3], des **maux de tête sévères et persistants** accompagnés de troubles visuels, ou une **diminution importante des mouvements de votre bébé** sont également des signaux d'alerte majeurs qui exigent une prise en charge rapide [3].","a01,a02,a03,a04","s01,s02","c01,c02",
39,Semaine 39 – ### Prêt pour la naissance,,,👶,3ème,"Pastèque (50,7 cm)",,,50.7,3.3,Votre bébé est complètement développé et n'attend plus que le moment de la naissance. Ses poumons produisent du surfactant en quantité suffisante. Son cerveau continue de se développer rapidement. Il a moins d'espace pour bouger mais vous devriez toujours sentir des mouvements réguliers.,,,,,,,,,,,,week_39.png,,39.0,"À 39 semaines de grossesse, l'arrivée de votre bébé est imminente. Votre corps se prépare activement, ce qui se traduit par une série de sensations intenses. Vous pourriez ressentir une pression accrue dans le bas-ventre, car le bébé est descendu dans le bassin, ce qui peut paradoxalement faciliter votre respiration. Les contractions de Braxton Hicks sont fréquentes et peuvent devenir plus intenses, mais elles restent généralement indolores. Le sommeil peut être difficile en raison de l'inconfort et de l'agitation. Il est également courant de faire face à des maux de dos, des crampes dans les jambes, et des troubles digestifs comme les brûlures d'estomac et la constipation. Enfin, la fatigue est omniprésente, mais rappelez-vous que chaque sensation vous rapproche du grand jour.","Il est crucial de rester vigilante à l'approche de l'accouchement. **Contactez immédiatement votre maternité** si vous constatez une perte de liquide, même un simple filet, car cela pourrait indiquer une rupture de la poche des eaux. De même, toute perte de sang rouge vif ou une diminution significative des mouvements de votre bébé nécessite une consultation urgente. Si vos contractions deviennent régulières, durent au moins 60 secondes et se produisent toutes les 5 minutes, il est temps de vous rendre à l'hôpital. N'hésitez jamais à appeler si vous avez le moindre doute ou si vous vous sentez inquiète. Votre équipe médicale est là pour vous accompagner.","a01,a02,a03,a04,a05",s01,c01,
40,Semaine 40 – ### Le grand jour approche,,,👶,3ème,"Pastèque (51,2 cm)",,,51.2,3.4,"Votre bébé est prêt à naître ! Son système immunitaire est renforcé par les anticorps que vous lui avez transmis. Ses organes sont matures et fonctionnels. Sa tête peut s'engager dans votre bassin, ce qui peut vous soulager au niveau des côtes mais augmenter la pression sur votre vessie.",,,,,,,,,,,,week_40.png,,40.0,"Félicitations, vous avez atteint la 40e semaine, le terme de votre grossesse ! L'attente est à son comble, et il est tout à fait normal de ressentir un mélange d'impatience et d'épuisement. Votre corps se prépare activement à l'accouchement. Les **contractions de Braxton Hicks** sont fréquentes, mais vous pourriez commencer à distinguer les **vraies contractions** : plus longues, plus fortes et plus régulières. La **descente du bébé** dans le bassin peut soulager votre diaphragme, facilitant la respiration, mais augmentant la **pression pelvienne** et le besoin d'uriner. Vous pourriez également remarquer la **perte du bouchon muqueux**, un signe que le col de l'utérus commence à se modifier. Reposez-vous autant que possible, car l'énergie sera votre meilleur allié pour le jour J. N'hésitez pas à pratiquer des exercices de respiration et de relaxation pour gérer l'anxiété de cette dernière ligne droite.","À ce stade, il est crucial de rester vigilante. Le signe d'alerte le plus important concerne les **mouvements de votre bébé**. Si vous constatez une **diminution ou un arrêt** des mouvements habituels, contactez immédiatement la maternité. Ne tardez jamais. De même, si vous pensez avoir perdu les eaux (même un simple filet de liquide), ou si vous avez des **saignements vaginaux abondants** (plus qu'un léger écoulement teinté), consultez sans délai. Soyez attentive aux signes de pré-éclampsie : **maux de tête intenses** qui ne passent pas, **troubles de la vision** (taches, vision floue) ou **douleur persistante sous les côtes**. Ces symptômes nécessitent une évaluation médicale urgente pour garantir votre sécurité et celle de votre enfant. En cas de doute, mieux vaut consulter pour rien.","a01,a02,a03,a04,a05",s01,"c01,c02",
